assembly_accession	reproductive_bacteraemia_category	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
GCA_029011255.1	Reproductive	3.0050805775699456	-33.93381854059302	0.10039021349190425	-0.8486930225862206	1.5712070675841312	-4.871416806828667	0.834297124253902	-1.4097877868167041	2.247213110671783	-2.8289857925612494
GCA_029011395.1	Reproductive	5.972820921519522	-5.522914476140973	-2.2056863299717295	3.907156039364295	-14.305747583029843	21.31117390985169	-4.241939971196595	-1.6174675313614202	1.4760241415036919	-0.5014696998369323
GCA_029011535.1	Reproductive	4.848686367368034	1.4750434015153169	3.2758471705389884	-3.7356529478210785	11.491888610271426	5.032294001213369	-2.8479701505136776	-4.3593536623533575	-0.8962032842598425	-0.7649999033017607
GCA_029011745.1	Reproductive	5.972820921519522	-5.522914476140976	-2.2056863299717278	3.9071560393643003	-14.305747583029849	21.311173909851707	-4.2419399711966	-1.6174675313614237	1.476024141503694	-0.5014696998369332
GCA_050469755.1	Bacteraemia	6.820081108336352	2.8208360371556953	-6.141305634896763	5.464730100146931	-0.19283535371862334	-3.445735476199269	0.04133220445628754	-1.1325814652727093	0.2723550622802589	-0.5868823889938453
GCA_050471105.1	Bacteraemia	3.5069125032761437	2.2574605757850525	9.71422752052458	-1.6527597725452006	-4.45766487375149	-2.879282233147301	0.6665155647787568	-0.08615603224868772	1.5411582071261316	-1.4602237201181947
GCA_050472745.1	Bacteraemia	6.820081108336351	2.8208360371556953	-6.141305634896755	5.464730100146926	-0.1928353537186187	-3.445735476199268	0.04133220445629318	-1.1325814652727093	0.2723550622802583	-0.5868823889938399
GCA_050472755.1	Bacteraemia	1.9936649769080623	-4.837867233606338	0.19547936107755157	-2.798438602268519	-0.7634655361329435	0.9923370629026195	7.564508069665653	6.472819417137766	-11.00175087641986	-0.8141478037635446
GCA_050473345.1	Bacteraemia	4.262528958801408	0.22394695305435353	1.9810979451732913	-2.3561604719676925	7.220014436690788	2.562668383111516	0.5235547654557913	6.542608746688013	4.399434933644567	3.421112514584837
GCA_050473355.1	Bacteraemia	4.191436907400445	0.11286516935483888	1.1676565593210622	-2.1863716798235777	7.471623765438824	2.63924606764699	0.3731757604742026	6.3700223633232795	4.049096226806037	3.78426781197489
GCA_050473905.1	Bacteraemia	6.820081108336351	2.8208360371556953	-6.141305634896766	5.464730100146915	-0.19283535371861754	-3.4457354761992685	0.04133220445628532	-1.1325814652727086	0.2723550622802642	-0.5868823889938384
GCA_050474485.1	Bacteraemia	4.468973798420808	0.3838016083593832	1.2291521831216436	-0.7314555520511049	3.6364317368670425	1.7484639423431954	-1.0220756187975202	8.136563114604861	2.917000194709045	1.7964362661484927
GCA_050474495.1	Bacteraemia	2.645117682646549	2.9874301920423183	-14.485688866041183	-25.81546575348458	-6.723414642956266	-2.8189629313423983	-0.8970056398543489	-0.6644032779704163	0.7888933199060062	-0.27026377632668724
GCA_050475565.1	Bacteraemia	3.225163553551608	-0.5851363061317572	-1.9981226690133091	1.6769908726122507	-2.329644573256499	5.603270760644802	-0.4688972710869208	3.421475981098176	-7.33295860414715	-1.776744533981494
GCA_050475575.1	Bacteraemia	-10.542709904689694	0.2198273884310297	-1.363007830786428	1.2293208114129068	-0.11164737562764543	-0.8329139727548075	-2.489367603517655	-0.5620918342673368	-1.43898068744395	1.7978708913802992
