VFG002164|WP_002395058|prgB/asc10|aggregation_substance_context	CP175255.1	95.663	3920	3918	2	3918	478796	482685	0.0	6315
VFG002165|WP_002356954|efaA|efaA	CP175255.1	99.461	927	927	1	927	1944684	1945610	0.0	1650
VFG002165|WP_002356954|efaA|efaA	CP175255.1	68.237	828	927	81	890	550327	551136	5.02e-72	269
VFG002166|WP_010714416|ace|ace	CP175255.1	95.193	1581	2025	1	1581	1085325	1086905	0.0	2509
VFG002166|WP_010714416|ace|ace	CP175255.1	95.006	801	2025	1225	2025	1086408	1087208	0.0	1265
VFG002166|WP_010714416|ace|ace	CP175255.1	93.277	357	2025	1084	1440	1086549	1086905	1.44e-152	536
VFG002166|WP_010714416|ace|ace	CP175255.1	91.036	357	2025	1366	1722	1086408	1086764	1.04e-141	500
VFG002166|WP_010714416|ace|ace	CP175255.1	90.278	216	2025	1084	1299	1086690	1086905	8.00e-80	296
VFG002166|WP_010714416|ace|ace	CP175255.1	89.815	216	2025	1507	1722	1086408	1086623	9.75e-79	291
VFG002166|WP_010714416|ace|ace	CP175255.1	89.474	76	2025	1647	1722	1086407	1086482	9.77e-22	102
VFG002166|WP_010714416|ace|ace	CP175255.1	89.474	76	2025	1083	1158	1086830	1086905	9.77e-22	102
VFG002171|WP_011109430|EF0149|aggregation_substance_context	CP175255.1	88.857	3868	3918	2	3855	478796	482616	0.0	5034
VFG002172|WP_010710127|EF0485|aggregation_substance_context	CP175255.1	95.712	3918	3918	1	3918	478795	482685	0.0	6324
VFG002173|WP_010785625|asa1|asa1_or_validated_equivalent	CP175255.1	95.810	2291	3891	1603	3891	480397	482685	0.0	3694
VFG002173|WP_010785625|asa1|asa1_or_validated_equivalent	CP175255.1	87.590	830	3891	2	829	478796	479596	0.0	1043
VFG002174|WP_002369251|gelE|gelE	CP175255.1	99.022	1533	1533	1	1533	1760917	1759385	0.0	2698
VFG002191|WP_002369252|sprE|sprE	CP175255.1	98.596	855	855	1	855	1759336	1758482	0.0	1489
VFG042976|WP_154081516|ebpA|ebpA	CP175255.1	99.278	3465	3465	1	3465	1074379	1077843	0.0	6137
VFG042977|WP_002379309|ebpB|ebpB	CP175255.1	99.161	1431	1431	1	1431	1077847	1079277	0.0	2527
VFG042978|WP_011109477|ebpC|ebpC	CP175255.1	98.885	1884	1878	1	1878	1079274	1081157	0.0	3305
