Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
GCF_053117675.1	NA	NZ_CP181226.1	6137	8635	+	gyrA_S83Y	Enterococcus faecalis quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	833	833	100.00	99.64	833	WP_033785346.1	DNA gyrase subunit A GyrA	NA	NA
GCF_053117675.1	NA	NZ_CP181226.1	1501361	1503820	-	parC_S80I	Enterococcus faecalis quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	820	820	100.00	99.76	820	WP_002371880.1	DNA topoisomerase IV subunit A ParC	NA	NA
GCF_053117675.1	NA	NZ_CP181226.1	1543787	1544506	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	BLASTX	240	245	97.96	97.92	240	WP_002292226.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
GCF_053117675.1	NA	NZ_CP181226.1	1548849	1549709	-	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	287	287	100.00	100.00	287	WP_002294505.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
GCF_053117675.1	NA	NZ_CP181226.1	1553595	1554395	-	lnu(B)	lincosamide nucleotidyltransferase Lnu(B)	core	AMR	AMR	LINCOSAMIDE	LINCOSAMIDE	EXACTX	267	267	100.00	100.00	267	WP_002294514.1	lincosamide nucleotidyltransferase Lnu(B)	NA	NA
GCF_053117675.1	NA	NZ_CP181226.1	1554452	1555933	-	lsa(E)	ABC-F type ribosomal protection protein Lsa(E)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	EXACTX	494	494	100.00	100.00	494	WP_002294513.1	ABC-F type ribosomal protection protein Lsa(E)	NA	NA
GCF_053117675.1	NA	NZ_CP181226.1	1558003	1558809	-	spw	ANT(9) family aminoglycoside nucleotidyltransferase Spw	core	AMR	AMR	AMINOGLYCOSIDE	AMINOGLYCOSIDE	EXACTX	269	269	100.00	100.00	269	WP_002294509.1	ANT(9) family aminoglycoside nucleotidyltransferase Spw	NA	NA
GCF_053117675.1	NA	NZ_CP181226.1	1559514	1560020	-	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIALX	169	287	58.89	99.41	169	WP_002294505.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
GCF_053117675.1	NA	NZ_CP181226.1	1560503	1561294	-	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	264	264	100.00	100.00	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NA	NA
GCF_053117675.1	NA	NZ_CP181226.1	1561390	1561929	-	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	EXACTX	180	180	100.00	100.00	180	WP_000627290.1	streptothricin N-acetyltransferase Sat4	NA	NA
GCF_053117675.1	NA	NZ_CP181226.1	1561929	1562723	-	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIALX	265	302	87.75	100.00	265	WP_001255866.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
GCF_053117675.1	NA	NZ_CP181226.1	1565153	1565887	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_002292226.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
GCF_053117675.1	NA	NZ_CP181226.1	2299482	2300975	-	lsa(A)	ABC-F type ribosomal protection protein Lsa(A)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	498	498	100.00	99.60	498	WP_002398829.1	ABC-F type ribosomal protection protein Lsa(A)	NA	NA
