Name	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
GCF_053117655.1	NA	NZ_CP181220.1	821941	823857	+	tet(M)	tetracycline resistance ribosomal protection protein Tet(M)	core	AMR	AMR	TETRACYCLINE	TETRACYCLINE	EXACTX	639	639	100.00	100.00	639	WP_002364936.1	tetracycline resistance ribosomal protection protein Tet(M)	NA	NA
GCF_053117655.1	NA	NZ_CP181220.1	1473425	1474159	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_002292226.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
GCF_053117655.1	NA	NZ_CP181220.1	1478487	1479347	-	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	EXACTX	287	287	100.00	100.00	287	WP_002294505.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
GCF_053117655.1	NA	NZ_CP181220.1	1484766	1485566	-	lsa(E)	ABC-F type ribosomal protection protein Lsa(E)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	PARTIALX	267	494	53.85	99.25	267	WP_002294513.1	ABC-F type ribosomal protection protein Lsa(E)	NA	NA
GCF_053117655.1	NA	NZ_CP181220.1	1489147	1489653	-	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIALX	169	287	58.89	99.41	169	WP_002294505.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
GCF_053117655.1	NA	NZ_CP181220.1	1490134	1490925	-	aph(3')-IIIa	aminoglycoside O-phosphotransferase APH(3')-IIIa	core	AMR	AMR	AMINOGLYCOSIDE	AMIKACIN/KANAMYCIN	EXACTX	264	264	100.00	100.00	264	WP_001096887.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	NA	NA
GCF_053117655.1	NA	NZ_CP181220.1	1491203	1491562	-	sat4	streptothricin N-acetyltransferase Sat4	core	AMR	AMR	STREPTOTHRICIN	STREPTOTHRICIN	INTERNAL_STOP	120	180	66.67	95.83	120	WP_000627290.1	streptothricin N-acetyltransferase Sat4	NA	NA
GCF_053117655.1	NA	NZ_CP181220.1	1491562	1492359	-	ant(6)-Ia	aminoglycoside nucleotidyltransferase ANT(6)-Ia	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIALX	266	302	87.75	99.62	266	WP_001255866.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	NA	NA
GCF_053117655.1	NA	NZ_CP181220.1	1494803	1495537	-	erm(B)	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	core	AMR	AMR	LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN	CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B	EXACTX	245	245	100.00	100.00	245	WP_002292226.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)	NA	NA
GCF_053117655.1	NA	NZ_CP181220.1	2258736	2260229	-	lsa(A)	ABC-F type ribosomal protection protein Lsa(A)	core	AMR	AMR	LINCOSAMIDE/STREPTOGRAMIN	LINCOSAMIDE/STREPTOGRAMIN	BLASTX	498	498	100.00	99.00	498	WP_002398829.1	ABC-F type ribosomal protection protein Lsa(A)	NA	NA
